venue,avg_1st_score,median_1st_score,std_1st_score,win_rate_bat_first
Koge Cricket Club,127.64723467862481,110.0,36.1097119689326,0.6143497757847534
Koge Cricket Club 2,146.64285714285714,116.0,31.542024624398216,1.0
Kyambogo Cricket Oval,120.0989956958393,135.0,35.80125875301405,0.5365853658536586
LC de Villiers Oval,119.0,119.0,0.0,0.0
La Manga Club Bottom Ground,97.44795859689476,98.0,49.37329939244356,0.156411730879816
La Manga Club Top Ground,118.05903790087464,111.0,52.92477229922577,0.37900874635568516
Lalabhai Contractor Stadium,135.54526315789474,130.0,27.90867327499976,0.7410526315789474
Las Caballerizas,110.0,110.0,0.0,0.0
Lisicji Jarak Cricket Ground,147.16255442670538,154.0,59.62009713537609,0.41146589259796806
Lochlands,99.26789838337183,91.0,37.72207227978061,0.29445727482678985
Lord's,157.32544861337684,153.0,19.607477665697466,0.6125611745513866
"Lord's, London",155.0,155.0,0.0,0.5100401606425703
Los Reyes Polo Club,105.89682539682539,106.0,9.585508748805637,1.0
Lugogo Cricket Oval,135.37735849056602,142.0,11.614432984184416,1.0
M Chinnaswamy Stadium,143.3770197486535,146.0,28.99626105502601,0.5583482944344704
"M Chinnaswamy Stadium, Bangalore",28.0,28.0,0.0,0.0
"M Chinnaswamy Stadium, Bengaluru",160.0,160.0,0.0,1.0
M.Chinnaswamy Stadium,161.88844621513945,134.0,28.055721448148475,0.0
"MA Chidambaram Stadium, Chepauk",150.73627844712183,156.0,24.26526348236804,0.8259705488621151
"MA Chidambaram Stadium, Chepauk, Chennai",156.4566596194503,177.0,39.70093073883895,0.2642706131078224
Maharashtra Cricket Association Stadium,151.40983606557376,201.0,50.10109189455369,0.5040983606557377
"Maharashtra Cricket Association Stadium, Pune",193.69379844961242,206.0,12.522790131403372,1.0
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",136.4564943253468,132.0,31.4175357378033,0.6834804539722572
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",124.26744186046511,134.0,21.862237324713366,0.0
"Malahide, Dublin",161.81746031746033,139.0,23.045045372779846,0.49603174603174605
"Malek Cricket Ground, Ajman",108.83201581027669,121.0,26.442866538632785,0.5039525691699605
Mangaung Oval,160.58333333333334,169.0,47.323794515161865,1.0
Manuka Oval,153.4814814814815,156.0,27.838998978689787,0.4670433145009416
"Manuka Oval, Canberra",150.25742574257427,147.0,26.057931443181054,0.3606789250353607
"Maple Leaf North-East Ground, King City",197.8273092369478,219.0,30.762121936972182,1.0
Maple Leaf North-West Ground,134.48015873015873,132.0,2.504896236171738,0.0
"Maple Leaf North-West Ground, King City",131.49681190223166,139.0,43.30141433238907,0.5159404888416578
"Marina Ground, Corfu",111.3297161936561,87.0,42.57982588445454,0.43989983305509184
Marsa Sports Club,155.9072330938816,163.0,41.019410495002504,0.4037651721575427
McLean Park,171.18300653594773,173.0,39.378383979346225,0.38562091503267976
"McLean Park, Napier",147.10655737704917,160.0,13.026283892583939,0.0
"Meersen, Gent",125.29935275080906,136.0,25.937764303895587,0.41262135922330095
Melbourne Cricket Ground,144.5224084844338,147.0,27.00531852606336,0.37461512145056447
Mercantile Cricket Association Ground,132.0,132.0,0.0,0.0
"Mission Road Ground, Mong Kok",130.1755319148936,161.0,44.595460755960445,0.675531914893617
"Mission Road Ground, Mong Kok, Hong Kong",149.39061784897027,156.0,49.200586294955976,0.5819221967963387
"Mladost Cricket Ground, Zagreb",153.0284023668639,132.0,66.46476918684556,0.47692307692307695
Moara Vlasiei Cricket Ground,114.88544891640866,128.0,35.6943008138523,0.7151702786377709
"Moara Vlasiei Cricket Ground, Ilfov County",151.38261075574508,162.0,42.08410976483798,0.47121535181236673
Mombasa Sports Club Ground,115.08625336927224,107.0,11.35915393358949,0.33692722371967654
Morodok Techo National Stadium,54.7962962962963,50.0,19.304976834593514,0.30864197530864196
Moses Mabhida Stadium,168.0,168.0,0.0,1.0
Mulpani Cricket Ground,152.2594427244582,149.0,35.561614623544436,0.3888544891640867
Multan Cricket Stadium,155.734375,153.0,20.19376802311247,0.671875
"N'Du Stadium, Noumea, New Caledonia",98.07859078590786,115.0,28.35698583244073,0.7425474254742548
